new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status,complaints_description_length,cleaned_complaints
483,product_quality,1483,Customer_483,Algeria,Website,The Concealer does not perform as advertised. please help!!!,Concealer,3,Quality Control Department,2025-09-21,awaiting,60,concealer perform advertised please help
484,product_quality,1484,Customer_484,Nigeria,Email,The Cleanser does not perform as advertised.,Cleanser,3,Quality Control Department,2025-03-27,awaiting,44,cleanser perform advertised
485,product_quality,1485,Customer_485,Algeria,Mobile App,the kohl does not perform as advertised.,Kohl,4,Quality Control Department,2025-02-23,in_progress,40,kohl perform advertised
486,product_quality,1486,Customer_486,Ghana,Email,The Body Lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-08-24,awaiting,47,body lotion perform advertised
487,delivery,1487,Customer_487,Nigeria,Phone Call,my lipstick order arrived much later than expected.,Lipstick,2,Delivery Department,2025-05-13,resolved,51,lipstick order arrived much later expected
488,product_quality,1488,Customer_488,Nigeria,Email,The Kohl does not perform as advertised.,Kohl,3,Quality Control Department,2025-11-25,awaiting,40,kohl perform advertised
489,refund,1489,Customer_489,Egypt,Email,i requested a refund for my primer but have not received it.,Primer,3,Customer Support,2025-05-29,awaiting,60,requested refund primer received
490,delivery,1490,Customer_490,Algeria,Email,My Lipstick order arrived much later than expected.,Lipstick,3,Delivery Department,2025-08-31,in_progress,51,lipstick order arrived much later expected
491,product_quality,1491,Customer_491,Morocco,Phone Call,The Foundation does not perform as advertised.,Foundation,5,Quality Control Department,2025-06-02,awaiting,46,foundation perform advertised
492,customer_service,1492,Customer_492,Egypt,Phone Call,I contacted support about my Kohl and never received a helpful response.,Kohl,3,Customer Support,2025-03-05,in_progress,72,contacted support kohl never received helpful response
493,packaging,1493,Customer_493,Ghana,Website,The Primer arrived with damaged packaging and I am disappointed.,Primer,2,Packaging Department,2025-04-19,resolved,64,primer arrived damaged packaging disappointed
494,customer_service,1494,Customer_494,Morocco,Phone Call,i contacted support about my concealer and never received a helpful response.,Concealer,4,Customer Support,2025-02-28,in_progress,77,contacted support concealer never received helpful response
495,refund,1495,Customer_495,Egypt,Mobile App,I requested a refund for my Primer but have not received it.,Primer,5,Customer Support,2025-11-27,awaiting,60,requested refund primer received
496,packaging,1496,Customer_496,Kenya,Website,the kohl arrived with damaged packaging and i am disappointed.,Kohl,4,Packaging Department,2025-07-02,in_progress,62,kohl arrived damaged packaging disappointed
497,refund,1497,Customer_497,Morocco,Mobile App,i requested a refund for my sunscreen but have not received it.,Sunscreen,5,Customer Support,2025-08-19,resolved,63,requested refund sunscreen received
498,refund,1498,Customer_498,Algeria,Website,I requested a refund for my Eyeliner but have not received it.,Eyeliner,3,Customer Support,2025-08-08,in_progress,62,requested refund eyeliner received
499,packaging,1499,Customer_499,Morocco,Website,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,4,Packaging Department,2025-03-10,awaiting,67,sunscreen arrived damaged packaging disappointed
500,billing,1500,Customer_500,Egypt,Email,I was charged twice for my Blush purchase.,Blush,3,Finance Department,2025-03-31,awaiting,42,charged twice blush purchase
